Country,Sales,Date,Time
Brazil,2.97,1/16/2018 0:00,5:54:00 AM
Indonesia,4966.62,1/19/2018 0:00,8:01:00 AM
China,265.86,1/20/2018 0:00,2:49:00 AM
China,87.6,1/21/2018 0:00,9:52:00 AM
Brazil,341.94,1/28/2018 0:00,10:47:00 AM
Philippines,1.2,1/30/2018 0:00,1:20:00 AM
Indonesia,209.55,2/6/2018 0:00,12:22:00 PM
China,7.36,2/16/2018 0:00,4:51:00 AM
Japan,1405.32,2/19/2018 0:00,1:40:00 AM
China,0.0,4/18/2018 0:00,12:05:00 PM
China,0.0,5/10/2018 0:00,1:11:00 AM
Philippines,1.26,1/14/2018 0:00,11:12:00 AM
Colombia,417.81,1/14/2018 0:00,9:26:00 AM
China,287.88,1/26/2018 0:00,6:18:00 AM
China,260.91,2/19/2018 0:00,6:35:00 AM
Mexico,69.98,3/11/2018 0:00,7:42:00 AM
China,13.99,4/10/2018 0:00,4:58:00 AM
Philippines,87.24,5/22/2018 0:00,8:28:00 AM
Colombia,2.01,6/22/2018 0:00,1:55:00 AM
Brazil,2.08,7/13/2018 0:00,12:51:00 PM
Germany,62.91,10/17/2018 0:00,5:21:00 AM
Philippines,6.97,11/13/2018 0:00,9:00:00 AM
France,7.26,12/31/2018 0:00,3:42:00 AM
China,4.62,2/1/2019 0:00,11:59:00 AM
Philippines,119.4,4/10/2019 0:00,7:50:00 AM
Mexico,0.0,4/15/2019 0:00,6:05:00 AM
France,35.98,4/25/2019 0:00,9:13:00 AM
China,19.9,6/12/2019 0:00,4:45:00 AM
France,55.92,10/22/2019 0:00,10:54:00 AM
Jamaica,55.37,3/11/2020 0:00,7:08:00 AM
Philippines,23.94,4/20/2020 0:00,2:47:00 AM
Japan,143.92,4/28/2020 0:00,10:50:00 AM
China,233.61,5/3/2020 0:00,3:32:00 AM
Philippines,815.83,5/22/2020 0:00,11:40:00 AM
China,54.89,7/5/2020 0:00,6:26:00 AM
Indonesia,6.03,8/6/2020 0:00,11:24:00 AM
South,3.63,8/27/2020 0:00,6:13:00 AM
Mexico,132.93,8/29/2020 0:00,3:41:00 AM
China,269.82,10/1/2020 0:00,9:10:00 AM
Philippines,139.79,12/12/2020 0:00,5:54:00 AM
Philippines,1.68,3/16/2021 0:00,11:26:00 AM
Indonesia,41.94,4/18/2021 0:00,3:30:00 AM
Japan,203.83,5/8/2021 0:00,11:11:00 AM
Brazil,203.16,9/13/2021 0:00,6:25:00 AM
Indonesia,53.82,11/10/2021 0:00,9:51:00 AM
France,71.92,12/3/2021 0:00,12:36:00 PM
Indonesia,216.72,1/8/2018 0:00,12:12:00 PM
France,207.84,1/8/2018 0:00,4:37:00 AM
Brazil,1.54,1/8/2018 0:00,11:41:00 AM
China,10.5,1/9/2018 0:00,6:15:00 AM
China,458.66,1/11/2018 0:00,2:47:00 AM
China,41.7,1/15/2018 0:00,4:08:00 AM
China,3274.83,1/16/2018 0:00,6:40:00 AM
Indonesia,12.54,1/17/2018 0:00,5:06:00 AM
China,0.91,1/19/2018 0:00,12:26:00 PM
China,5.75,1/24/2018 0:00,1:50:00 AM
China,417.6,1/24/2018 0:00,11:13:00 AM
China,170.81,1/26/2018 0:00,12:27:00 PM
China,747.5,1/30/2018 0:00,10:41:00 AM
Philippines,692.01,2/5/2018 0:00,8:30:00 AM
Philippines,796.5,2/25/2018 0:00,7:07:00 AM
China,1203.26,3/28/2018 0:00,12:48:00 PM
France,961.17,5/16/2018 0:00,8:06:00 AM
China,0.13,1/2/2018 0:00,9:35:00 AM
Philippines,131.89,1/6/2018 0:00,11:33:00 AM
Mexico,4.16,1/12/2018 0:00,5:49:00 AM
China,519.87,1/26/2018 0:00,10:26:00 AM
China,65.97,1/27/2018 0:00,7:17:00 AM
China,587.96,1/30/2018 0:00,11:05:00 AM
France,11.16,2/19/2018 0:00,3:19:00 AM
Philippines,155.94,3/26/2018 0:00,6:28:00 AM
China,170.91,4/27/2018 0:00,9:22:00 AM
China,0.0,10/17/2018 0:00,8:57:00 AM
Philippines,63.92,12/21/2018 0:00,5:51:00 AM
China,227.62,1/21/2019 0:00,9:28:00 AM
France,339.83,3/30/2019 0:00,4:26:00 AM
Indonesia,0.0,4/11/2019 0:00,12:57:00 PM
Brazil,0.0,5/12/2019 0:00,6:36:00 AM
Brazil,1.84,7/14/2019 0:00,1:13:00 AM
Brazil,125.82,7/17/2019 0:00,4:03:00 AM
China,87.96,7/26/2019 0:00,12:30:00 PM
Indonesia,0.0,9/6/2019 0:00,7:35:00 AM
China,51.6,9/6/2019 0:00,3:17:00 AM
China,188.82,9/22/2019 0:00,6:24:00 AM
France,0.0,10/5/2019 0:00,11:04:00 AM
China,0.0,10/22/2019 0:00,8:51:00 AM
Brazil,88.25,11/3/2019 0:00,11:26:00 AM
Germany,0.0,11/26/2019 0:00,7:07:00 AM
Indonesia,41.47,12/21/2019 0:00,5:51:00 AM
China,1.76,12/29/2019 0:00,6:35:00 AM
China,97.24,1/4/2020 0:00,10:30:00 AM
China,299.85,3/22/2020 0:00,1:35:00 AM
China,0.0,4/7/2020 0:00,5:18:00 AM
Indonesia,8.14,7/2/2020 0:00,10:45:00 AM
Brazil,5.53,7/8/2020 0:00,10:27:00 AM
China,7.5,7/18/2020 0:00,11:38:00 AM
Philippines,202.13,7/27/2020 0:00,1:32:00 AM
China,41.94,8/11/2020 0:00,1:13:00 AM
Canada,6.02,8/16/2020 0:00,5:18:00 AM
Philippines,296.46,8/25/2020 0:00,7:51:00 AM
China,42.9,10/10/2020 0:00,3:56:00 AM
China,125.73,11/15/2020 0:00,2:38:00 AM
China,32.89,11/22/2020 0:00,2:03:00 AM
China,41.97,11/27/2020 0:00,5:45:00 AM
Indonesia,3.6,2/8/2021 0:00,4:10:00 AM
Philippines,121.28,2/22/2021 0:00,3:57:00 AM
Philippines,164.45,3/23/2021 0:00,1:39:00 AM
Philippines,43.78,3/29/2021 0:00,8:40:00 AM
China,47.52,8/24/2021 0:00,10:24:00 AM
China,0.0,9/27/2021 0:00,10:53:00 AM
China,221.88,10/11/2021 0:00,4:32:00 AM
France,0.0,10/24/2021 0:00,12:19:00 PM
Canada,1.4,1/4/2018 0:00,5:57:00 AM
China,814.23,1/9/2018 0:00,5:02:00 AM
Japan,4.32,1/13/2018 0:00,11:21:00 AM
China,449.88,1/20/2018 0:00,7:55:00 AM
Greece,89.1,1/21/2018 0:00,4:30:00 AM
Philippines,237.86,1/27/2018 0:00,12:58:00 PM
Brazil,118.93,3/12/2018 0:00,4:12:00 AM
France,165.76,3/21/2018 0:00,2:48:00 AM
Chile,161.92,4/7/2018 0:00,9:30:00 AM
China,798.75,4/8/2018 0:00,7:24:00 AM
Greece,77.85,4/11/2018 0:00,6:14:00 AM
China,383.76,5/12/2018 0:00,7:31:00 AM
China,26.4,1/7/2018 0:00,5:41:00 AM
Philippines,134.97,1/10/2018 0:00,3:57:00 AM
Germany,573.76,1/13/2018 0:00,8:04:00 AM
China,83.93,1/16/2018 0:00,4:24:00 AM
China,37.99,1/16/2018 0:00,10:44:00 AM
China,61.02,1/18/2018 0:00,7:37:00 AM
Colombia,339.83,1/20/2018 0:00,3:55:00 AM
France,8.32,2/8/2018 0:00,12:28:00 PM
Brazil,6.0,3/21/2018 0:00,11:05:00 AM
South,31.74,3/22/2018 0:00,11:16:00 AM
Pakistan,9.8,7/8/2018 0:00,1:12:00 AM
China,129.16,7/13/2018 0:00,8:21:00 AM
China,7.88,7/23/2018 0:00,9:09:00 AM
Philippines,132.93,9/22/2018 0:00,4:21:00 AM
China,279.93,10/6/2018 0:00,10:11:00 AM
Indonesia,719.91,11/9/2018 0:00,8:35:00 AM
Mali,143.82,12/7/2018 0:00,9:19:00 AM
China,2.85,2/4/2019 0:00,8:23:00 AM
Philippines,69.96,2/20/2019 0:00,9:07:00 AM
Philippines,237.86,2/27/2019 0:00,3:44:00 AM
China,6.66,3/6/2019 0:00,5:20:00 AM
Greece,26.25,4/26/2019 0:00,8:26:00 AM
China,0.0,5/7/2019 0:00,1:05:00 AM
China,601.6,6/6/2019 0:00,10:33:00 AM
Indonesia,12.6,7/2/2019 0:00,5:36:00 AM
China,27.99,7/8/2019 0:00,3:02:00 AM
Colombia,12.1,8/9/2019 0:00,10:14:00 AM
Colombia,116.91,10/13/2019 0:00,5:24:00 AM
China,0.0,10/21/2019 0:00,11:18:00 AM
China,13.5,12/13/2019 0:00,1:08:00 AM
Indonesia,0.36,2/27/2020 0:00,1:44:00 AM
Brazil,186.83,4/30/2020 0:00,1:19:00 AM
Brazil,15.3,6/2/2020 0:00,3:28:00 AM
Ecuador,179.82,8/22/2020 0:00,2:10:00 AM
China,119.92,9/5/2020 0:00,9:08:00 AM
China,181.92,9/21/2020 0:00,9:05:00 AM
France,239.82,10/11/2020 0:00,12:03:00 PM
Japan,35.88,10/18/2020 0:00,12:35:00 PM
Brazil,207.87,11/28/2020 0:00,4:31:00 AM
China,0.36,12/18/2020 0:00,7:59:00 AM
China,0.72,12/27/2020 0:00,4:30:00 AM
China,415.84,3/2/2021 0:00,12:41:00 PM
Indonesia,279.92,3/6/2021 0:00,3:31:00 AM
Philippines,0.73,8/26/2021 0:00,6:06:00 AM
Japan,68.58,9/16/2021 0:00,11:58:00 AM
China,249.75,1/2/2018 0:00,8:55:00 AM
Indonesia,88.41,1/4/2018 0:00,1:29:00 AM
Canada,1.32,1/4/2018 0:00,4:01:00 AM
China,8038.66,1/23/2018 0:00,9:37:00 AM
Brazil,1941.3,1/28/2018 0:00,5:00:00 AM
Colombia,5.28,3/22/2018 0:00,5:53:00 AM
China,179.82,3/28/2018 0:00,6:54:00 AM
Brazil,0.0,4/8/2018 0:00,4:54:00 AM
China,1533.6,4/23/2018 0:00,10:03:00 AM
Philippines,1199.52,4/29/2018 0:00,4:37:00 AM
Mexico,261.36,1/1/2018 0:00,2:11:00 AM
Indonesia,0.7,1/2/2018 0:00,8:05:00 AM
South,86.7,1/12/2018 0:00,11:50:00 AM
China,0.8,3/16/2018 0:00,6:31:00 AM
Brazil,59.98,3/17/2018 0:00,4:55:00 AM
Panama,67.64,3/23/2018 0:00,5:29:00 AM
China,284.81,3/25/2018 0:00,4:28:00 AM
China,163.46,4/11/2018 0:00,9:46:00 AM
Colombia,0.0,4/16/2018 0:00,12:35:00 PM
France,155.88,6/28/2018 0:00,7:51:00 AM
China,499.8,7/26/2018 0:00,6:01:00 AM
Greece,5.04,7/31/2018 0:00,7:37:00 AM
Indonesia,49.95,9/8/2018 0:00,2:41:00 AM
Greece,0.0,10/21/2018 0:00,1:32:00 AM
Philippines,269.94,10/22/2018 0:00,4:38:00 AM
China,23.0,12/7/2018 0:00,9:55:00 AM
Colombia,1.12,12/10/2018 0:00,10:14:00 AM
Colombia,80.55,12/31/2018 0:00,5:17:00 AM
Egypt,608.52,2/4/2019 0:00,9:18:00 AM
Philippines,1.96,2/22/2019 0:00,1:39:00 AM
China,224.9,4/26/2019 0:00,9:25:00 AM
China,187.45,7/15/2019 0:00,4:35:00 AM
China,21.98,7/21/2019 0:00,2:20:00 AM
Philippines,8.8,8/16/2019 0:00,5:18:00 AM
France,14.99,8/27/2019 0:00,4:06:00 AM
China,11.52,8/31/2019 0:00,8:38:00 AM
Albania,0.0,10/5/2019 0:00,4:43:00 AM
Brazil,0.0,11/29/2019 0:00,1:41:00 AM
China,144.24,12/26/2019 0:00,8:52:00 AM
China,99.5,1/10/2020 0:00,11:17:00 AM
Philippines,166.74,1/22/2020 0:00,4:43:00 AM
Indonesia,2.66,2/13/2020 0:00,12:24:00 PM
China,2712.0,2/15/2020 0:00,7:57:00 AM
Philippines,199.9,2/18/2020 0:00,11:04:00 AM
Panama,29.97,2/29/2020 0:00,5:52:00 AM
Indonesia,0.48,3/14/2020 0:00,5:02:00 AM
China,142.89,4/15/2020 0:00,11:25:00 AM
China,363.84,6/29/2020 0:00,6:49:00 AM
China,49.0,8/11/2020 0:00,5:47:00 AM
China,189.81,8/21/2020 0:00,2:13:00 AM
Japan,36.89,9/7/2020 0:00,4:02:00 AM
Philippines,111.86,9/10/2020 0:00,7:11:00 AM
China,50.85,10/24/2020 0:00,9:16:00 AM
Mexico,591.68,12/28/2020 0:00,8:11:00 AM
China,35.64,2/4/2021 0:00,6:23:00 AM
China,6.72,2/23/2021 0:00,10:44:00 AM
Colombia,1335.0,8/10/2021 0:00,7:08:00 AM
France,9.52,8/17/2021 0:00,9:49:00 AM
France,26.97,8/29/2021 0:00,6:52:00 AM
Philippines,23.99,10/28/2021 0:00,5:34:00 AM
China,3.96,12/5/2021 0:00,8:09:00 AM
China,492.0,9/31/2021,7:54:00 AM
China,344.54,1/2/2018 0:00,2:28:00 AM
Brazil,6848.0,1/5/2018 0:00,2:09:00 AM
South,932.88,1/5/2018 0:00,6:14:00 AM
China,208.32,1/20/2018 0:00,6:40:00 AM
Philippines,12.96,1/22/2018 0:00,12:39:00 PM
France,598.29,1/29/2018 0:00,5:51:00 AM
China,24.64,2/4/2018 0:00,9:28:00 AM
Philippines,34.65,3/19/2018 0:00,6:21:00 AM
China,717.6,5/10/2018 0:00,4:39:00 AM
China,87.89,1/4/2018 0:00,4:52:00 AM
Philippines,10.1,1/17/2018 0:00,3:28:00 AM
Brazil,0.4,1/19/2018 0:00,4:53:00 AM
Philippines,559.86,2/20/2018 0:00,5:53:00 AM
Indonesia,67.15,5/29/2018 0:00,5:04:00 AM
Brazil,21.28,7/6/2018 0:00,12:39:00 PM
Philippines,37.48,8/18/2018 0:00,3:45:00 AM
China,0.99,8/20/2018 0:00,2:04:00 AM
Indonesia,207.76,9/30/2018 0:00,12:07:00 PM
China,0.0,11/4/2018 0:00,1:36:00 AM
China,1.87,12/8/2018 0:00,4:41:00 AM
Philippines,0.0,4/21/2019 0:00,8:41:00 AM
China,26.85,4/24/2019 0:00,7:01:00 AM
Somalia,0.0,10/26/2019 0:00,8:38:00 AM
Philippines,0.0,11/26/2019 0:00,7:00:00 AM
Philippines,189.05,12/28/2019 0:00,4:35:00 AM
Indonesia,4.14,2/13/2020 0:00,10:14:00 AM
China,0.0,5/13/2020 0:00,6:37:00 AM
Egypt,303.62,5/25/2020 0:00,6:35:00 AM
China,0.0,5/28/2020 0:00,9:05:00 AM
Colombia,119.76,6/29/2020 0:00,2:25:00 AM
China,4.3,7/2/2020 0:00,4:52:00 AM
Ecuador,0.4,7/3/2020 0:00,11:53:00 AM
Japan,7.8,7/4/2020 0:00,12:50:00 PM
Indonesia,2.09,7/17/2020 0:00,6:23:00 AM
China,279.93,10/29/2020 0:00,3:37:00 AM
Indonesia,203.88,12/11/2020 0:00,9:13:00 AM
China,21.95,12/22/2020 0:00,11:41:00 AM
Indonesia,4.18,12/26/2020 0:00,10:05:00 AM
China,3839.2,2/19/2021 0:00,9:10:00 AM
China,3.92,2/25/2021 0:00,7:42:00 AM
China,4.32,7/11/2021 0:00,9:28:00 AM
China,0.91,8/2/2021 0:00,6:23:00 AM
Pakistan,646.51,9/11/2021 0:00,9:26:00 AM
China,339.15,9/25/2021 0:00,12:31:00 PM
Greece,135.83,4/31/2020,7:47:00 AM
Brazil,570.76,1/11/2018 0:00,5:52:00 AM
Japan,1623.75,1/21/2018 0:00,4:14:00 AM
China,31.04,1/21/2018 0:00,2:19:00 AM
Greece,113.94,2/3/2018 0:00,4:01:00 AM
Brazil,2.96,2/4/2018 0:00,8:56:00 AM
Philippines,2616.12,3/5/2018 0:00,3:25:00 AM
China,1988.01,3/14/2018 0:00,8:05:00 AM
Philippines,89.82,4/1/2018 0:00,7:15:00 AM
Japan,0.0,4/29/2018 0:00,4:04:00 AM
Philippines,285.87,1/14/2018 0:00,6:57:00 AM
Japan,89.91,1/17/2018 0:00,6:32:00 AM
France,143.82,1/24/2018 0:00,9:59:00 AM
China,97.11,1/26/2018 0:00,7:06:00 AM
China,4.5,2/21/2018 0:00,2:42:00 AM
China,159.84,3/9/2018 0:00,7:07:00 AM
China,273.68,3/28/2018 0:00,3:30:00 AM
Indonesia,665.82,4/12/2018 0:00,7:10:00 AM
Philippines,119.94,4/12/2018 0:00,1:00:00 AM
Greece,799.68,6/10/2018 0:00,7:20:00 AM
Philippines,1.89,7/12/2018 0:00,3:03:00 AM
Brazil,59.97,8/10/2018 0:00,8:56:00 AM
China,2.1,8/10/2018 0:00,10:48:00 AM
China,87.5,8/24/2018 0:00,1:56:00 AM
China,20.97,12/1/2018 0:00,7:16:00 AM
China,3.6,12/12/2018 0:00,9:24:00 AM
China,148.0,2/26/2019 0:00,9:20:00 AM
Indonesia,143.84,3/11/2019 0:00,8:14:00 AM
China,64.61,3/13/2019 0:00,7:00:00 AM
Indonesia,0.66,3/13/2019 0:00,11:55:00 AM
Philippines,104.79,3/28/2019 0:00,12:14:00 PM
China,59.96,3/29/2019 0:00,7:39:00 AM
South,103.87,4/9/2019 0:00,5:29:00 AM
France,285.67,4/19/2019 0:00,2:15:00 AM
China,2.4,7/4/2019 0:00,6:55:00 AM
Greece,31.52,7/21/2019 0:00,7:44:00 AM
China,89.95,8/3/2019 0:00,6:15:00 AM
China,332.15,10/11/2019 0:00,2:04:00 AM
China,224.91,10/21/2019 0:00,7:00:00 AM
China,0.0,11/21/2019 0:00,9:17:00 AM
China,15.87,11/22/2019 0:00,3:05:00 AM
China,223.84,1/2/2020 0:00,4:09:00 AM
China,10.5,3/15/2020 0:00,2:41:00 AM
Japan,7.14,3/30/2020 0:00,11:34:00 AM
Indonesia,109.9,5/11/2020 0:00,10:23:00 AM
Brazil,279.15,6/16/2020 0:00,10:20:00 AM
China,42.16,7/8/2020 0:00,2:31:00 AM
China,9.0,7/20/2020 0:00,12:15:00 PM
France,10.27,8/9/2020 0:00,3:50:00 AM
Bangladesh,37.4,8/11/2020 0:00,9:40:00 AM
China,59.98,9/8/2020 0:00,2:15:00 AM
Greece,0.0,9/13/2020 0:00,10:20:00 AM
Brazil,323.88,9/20/2020 0:00,12:42:00 PM
China,103.87,10/2/2020 0:00,5:34:00 AM
China,59.25,10/13/2020 0:00,4:52:00 AM
China,78.6,10/17/2020 0:00,4:18:00 AM
Indonesia,1.65,12/17/2020 0:00,3:00:00 AM
China,6.5,2/12/2021 0:00,8:15:00 AM
China,4262.36,1/3/2018 0:00,2:19:00 AM
Mexico,652.0,1/15/2018 0:00,8:35:00 AM
France,431.28,1/25/2018 0:00,1:42:00 AM
Indonesia,1411.28,2/12/2018 0:00,10:55:00 AM
France,125.8,3/8/2018 0:00,10:50:00 AM
Mexico,315.84,4/11/2018 0:00,2:10:00 AM
Albania,165.96,4/20/2018 0:00,4:45:00 AM
Brazil,637.32,4/22/2018 0:00,5:43:00 AM
Italy,129.74,4/27/2018 0:00,4:29:00 AM
Brazil,0.0,5/7/2018 0:00,7:06:00 AM
China,8.7,1/4/2018 0:00,8:03:00 AM
China,179.64,1/14/2018 0:00,8:07:00 AM
Philippines,0.98,1/23/2018 0:00,5:06:00 AM
China,8.16,2/6/2018 0:00,12:33:00 PM
Japan,2.04,3/27/2018 0:00,12:12:00 PM
Pakistan,0.0,4/7/2018 0:00,2:10:00 AM
Philippines,209.28,4/12/2018 0:00,12:41:00 PM
Indonesia,0.0,5/7/2018 0:00,7:15:00 AM
China,13.5,7/13/2018 0:00,2:33:00 AM
China,29.99,7/31/2018 0:00,5:34:00 AM
Bangladesh,367.84,8/14/2018 0:00,3:43:00 AM
Philippines,259.74,9/5/2018 0:00,11:12:00 AM
Egypt,19.88,9/24/2018 0:00,2:45:00 AM
Greece,0.0,10/10/2018 0:00,4:06:00 AM
Greece,119.96,12/5/2018 0:00,4:28:00 AM
France,899.82,2/4/2019 0:00,1:57:00 AM
Philippines,0.0,4/7/2019 0:00,2:16:00 AM
China,44.95,7/7/2019 0:00,8:31:00 AM
Togo,10.85,7/15/2019 0:00,9:32:00 AM
China,3.99,8/25/2019 0:00,2:04:00 AM
Philippines,39.95,9/12/2019 0:00,1:25:00 AM
United,252.0,10/9/2019 0:00,12:10:00 PM
Ecuador,0.0,11/12/2019 0:00,12:26:00 PM
China,47.28,12/7/2019 0:00,9:50:00 AM
China,227.88,1/17/2020 0:00,4:26:00 AM
Brazil,139.93,2/27/2020 0:00,2:40:00 AM
China,203.66,3/4/2020 0:00,12:52:00 PM
China,85.67,3/5/2020 0:00,6:15:00 AM
China,239.88,7/28/2020 0:00,2:27:00 AM
Ecuador,15.3,8/13/2020 0:00,12:41:00 PM
Colombia,7.48,2/21/2021 0:00,2:31:00 AM
Philippines,239.88,2/24/2021 0:00,12:31:00 PM
Indonesia,44.94,3/10/2021 0:00,10:19:00 AM
Indonesia,143.82,3/22/2021 0:00,5:21:00 AM
China,0.0,4/14/2021 0:00,11:42:00 AM
China,0.0,5/25/2021 0:00,11:56:00 AM
France,67.76,8/12/2021 0:00,8:37:00 AM
China,389.87,9/1/2021 0:00,9:59:00 AM
China,1019.83,10/28/2021 0:00,3:22:00 AM
Philippines,4.68,1/3/2018 0:00,9:35:00 AM
Philippines,879.56,1/6/2018 0:00,11:49:00 AM
Indonesia,5.44,1/12/2018 0:00,7:37:00 AM
Colombia,558.57,1/17/2018 0:00,7:04:00 AM
Philippines,82.2,1/19/2018 0:00,1:04:00 AM
France,1967.18,1/21/2018 0:00,10:47:00 AM
China,48.5,1/24/2018 0:00,1:47:00 AM
Philippines,53.32,1/25/2018 0:00,10:55:00 AM
Mexico,0.0,4/19/2018 0:00,9:14:00 AM
Indonesia,0.0,4/28/2018 0:00,4:06:00 AM
China,1293.14,5/2/2018 0:00,12:19:00 PM
France,0.99,3/27/2018 0:00,8:18:00 AM
China,203.94,1/1/2018 0:00,6:50:00 AM
China,989.67,1/3/2018 0:00,6:59:00 AM
France,79.92,1/6/2018 0:00,6:17:00 AM
Brazil,0.6,1/9/2018 0:00,6:21:00 AM
Brazil,8.4,1/23/2018 0:00,5:14:00 AM
South,7.68,1/27/2018 0:00,5:38:00 AM
Philippines,9.4,1/29/2018 0:00,9:25:00 AM
China,30.4,1/29/2018 0:00,3:34:00 AM
Indonesia,0.28,2/5/2018 0:00,10:56:00 AM
Mexico,209.16,2/18/2018 0:00,10:00:00 AM
China,224.85,2/22/2018 0:00,9:50:00 AM
Germany,21.1,3/22/2018 0:00,3:31:00 AM
China,693.44,4/3/2018 0:00,6:11:00 AM
France,131.88,5/2/2018 0:00,6:23:00 AM
Indonesia,0.8,7/5/2018 0:00,4:27:00 AM
Chile,209.38,7/14/2018 0:00,7:55:00 AM
Indonesia,3.6,8/18/2018 0:00,6:35:00 AM
Brazil,21.8,9/17/2018 0:00,10:44:00 AM
France,0.0,10/9/2018 0:00,12:47:00 PM
Japan,0.0,10/27/2018 0:00,4:39:00 AM
China,446.32,11/25/2018 0:00,4:55:00 AM
China,35.64,1/19/2019 0:00,2:43:00 AM
China,19.98,3/19/2019 0:00,11:21:00 AM
Japan,107.88,3/21/2019 0:00,7:47:00 AM
China,659.97,4/14/2019 0:00,8:35:00 AM
Indonesia,335.52,5/20/2019 0:00,11:30:00 AM
Brazil,0.18,6/6/2019 0:00,9:18:00 AM
Japan,0.55,6/19/2019 0:00,5:58:00 AM
France,1499.85,7/15/2019 0:00,9:56:00 AM
Brazil,1.2,7/29/2019 0:00,3:26:00 AM
Japan,0.73,8/1/2019 0:00,5:55:00 AM
China,95.84,8/4/2019 0:00,4:51:00 AM
France,94.5,9/5/2019 0:00,8:47:00 AM
France,65.88,9/17/2019 0:00,7:18:00 AM
Canada,0.0,9/20/2019 0:00,3:25:00 AM
Indonesia,131.55,2/23/2020 0:00,7:57:00 AM
Japan,1235.5,4/25/2020 0:00,1:58:00 AM
China,0.0,5/8/2020 0:00,8:08:00 AM
Mexico,3.3,8/1/2020 0:00,9:50:00 AM
Germany,339.49,8/9/2020 0:00,5:56:00 AM
China,1.61,8/9/2020 0:00,12:41:00 PM
China,197.4,8/23/2020 0:00,8:28:00 AM
China,499.9,9/24/2020 0:00,4:54:00 AM
Egypt,1.4,12/26/2020 0:00,3:39:00 AM
Brazil,569.81,5/2/2021 0:00,1:27:00 AM
Brazil,15.0,7/2/2021 0:00,4:35:00 AM
China,71.85,7/6/2021 0:00,11:43:00 AM
China,101.92,7/14/2021 0:00,5:55:00 AM
China,88.64,10/28/2021 0:00,11:28:00 AM
Greece,2.82,1/2/2018 0:00,6:21:00 AM
China,1241.87,1/4/2018 0:00,7:25:00 AM
Ecuador,250.2,1/8/2018 0:00,3:30:00 AM
China,261.12,1/10/2018 0:00,9:25:00 AM
China,1090.05,1/19/2018 0:00,5:21:00 AM
China,89.97,3/1/2018 0:00,1:32:00 AM
China,3480.0,3/4/2018 0:00,1:20:00 AM
China,6.98,3/29/2018 0:00,1:31:00 AM
China,179.88,4/14/2018 0:00,1:24:00 AM
Brazil,269.82,2/15/2020 0:00,11:30:00 AM
Indonesia,179.85,1/14/2018 0:00,6:12:00 AM
China,263.52,1/19/2018 0:00,12:07:00 PM
Colombia,1169.91,1/28/2018 0:00,9:42:00 AM
China,5.28,2/8/2018 0:00,8:25:00 AM
Brazil,11.44,5/1/2018 0:00,2:31:00 AM
Cameroon,86.85,5/6/2018 0:00,12:10:00 PM
Colombia,102.3,5/9/2018 0:00,5:50:00 AM
Indonesia,0.0,5/22/2018 0:00,1:45:00 AM
China,197.89,6/10/2018 0:00,12:36:00 PM
China,461.86,7/16/2018 0:00,3:39:00 AM
China,0.0,9/28/2018 0:00,10:51:00 AM
China,359.82,10/27/2018 0:00,1:08:00 AM
Japan,119.52,11/6/2018 0:00,3:52:00 AM
China,101.12,12/8/2018 0:00,10:57:00 AM
China,2.88,12/26/2018 0:00,4:00:00 AM
France,5.44,12/30/2018 0:00,3:17:00 AM
China,41.28,2/27/2019 0:00,11:28:00 AM
